        East batteries! On-off switch too easy to maneuver. ,-1
        Eats...no. GULPS batteries ,-1
        Awkward ergonomics. no optical viewfinder. short battery life. slow. gets hot ,-1
        Battery eating beast/slow to recharge ,-1
        power runs out before pictures do ,-1
        Slow. high battery consumption rate. ,-1
        Memory too small. slow charge between shots. ,-1
        Case design. included software ,-1
        No Optical Viewfinder. No Carry Case ,-1
        poor image quality. flash that thinks it's &amp;quot;intelligent.&amp;quot; awkward to handle. ,-1
        I haven't discovered any! ,-1
        That little on/off switch sucks ,-1
        Low light photography. blinding flash ,-1
        a little expensive. but it's worth it ,-1
        Poor picture quality ,-1
        Can only hold so many options. the software is lacking in options ,-1
        Pics can sometimes be a bit yellowish ,-1
        It needs reliable batteries. not cheap ones. ,-1
        Low battery life. Smart Media not as popular as Compact Flash ,-1
        hard to see view screen. hard to find ,-1
        Maybe the price could be 400 dollars. ,-1
        None that I've found ,-1
        Short battery life ,-1
        Takes a second or two to actually take the picture after the button is pushed. eats batteries.  ,-1
        Occasionally mis-focuses some subjects in autofocus mode ,-1
        eats batteries. carry several mem cards ,-1
        Viewing screen in bright light. ,-1
        No viewfinder. no lens cap ,-1
        no support CompactFlash. a little slow. poor batteries ,-1
        battery consumption. warm up time. ,-1
        Sucks batteries like there's no tomorrow ,-1
        It uses a lot of batteries. ,-1
        falls apart way too easy ,-1
        Needs batteries all the time ,-1
        Software instructions difficult to understand and implement ,-1
        image quality is less than perfect ,-1
        Battery hog ,-1
        it only works sometimes. poor picture quality ,-1
        Eats batteries. Not enough space for quality pictures. ,-1
        Low battery life with standard batteries. ,-1
        Green light in viewfinder. eats AA batteries ,-1
        Hard on batteries ,-1
        no Zoom!! price. heavy/bulky.  ,-1
        Poor quality pictures. High power consumption. Low memory size ,-1
        Battery life. green light in viewfinder annoying ,-1
        No USB connection ,-1
        Missing zoom. few zippy features ,-1
        Carbon unit accessory sometimes takes bad pictures with it; 640x480 res has its limits ,-1
        Battery drain. com port only. NO ZOOM.  ,-1
        Battery Killer. A little bulky ,-1
        Instructions should be more user friendly. Manual assumes computer skills that a beginner may not have ,-1
        Doesn't  have a swivel body.  ,-1
        Problems with software. lack of instructions. lack of troubleshooting help. easy to delete pics ,-1
        uses batteries very quick ,-1
        when the computer is down. it won't work ,-1
        uses batteries fast ,-1
        High battery drain. Distracting flash indicator ,-1
        Manual is on Software and not as separate item. ,-1
        Only loads into computer half the time with associated software ,-1
        No zoom!!! ,-1
        battery eater ,-1
        Options are $$$$$$$ ,-1
        performance ,-1
        Eats batteries ,-1
        Harder to use in low light ,-1
        Durabilty. lack of zoom ,-1
        battery hog ,-1
        bad indoor pics. ,-1
        no zoom ,-1
        Continues to break down ,-1
        Malfunctioned twice. goes quickly through batteries ,-1
        battery cost a little high ,-1
        Good. but not serious quality ,-1
        Battery eater. have to connect to computer every time you download pictures ,-1
        Eats up batteries ,-1
        Flash not too 'smart'. software ,-1
        you have to buy a battery charger and rechargeables ,-1
        Battery life stinks. flash overexposes closeups. no zoom ,-1
        Devours batteries. white out on closeups with flash ,-1
        short battery life ,-1
        Lack of Windows2000 Drivers. No Zoom ,-1
        LCD hard to see in the sun. LCD freezes ,-1
        Eats batteries. plan on shelling out more money. Not very high res ,-1
        Very Poor customer service. ,-1
        The camera I have can only be connected to your computer via a serial port. and as I have a serial mouse and a serial modem. I have no spare ports while online. forcing me to disconnect to upload new pictures. :-( [Update: I now have a PS/2 mouse and can p ,-1
        Potentially weak LCD screen ,-1
        Slightly dated technology ,-1
        No Auto-Focus. Weak Flash ,-1
        Rechargeable batteries are a must! ,-1
        low quality pictures. drains batteries ,-1
        Battery life when using LCD. no zoom ,-1
        printing photos is hard for me ,-1
        eats batteries quickly.  viewfinder too far from lens. sporadic LCD window ,-1
        As with all digital cam's...eats batteries. ,-1
        Batteries can go fast if you dont get good ones ,-1
        Has flaws which are made worse by bad service policy. ,-1
        battery life (just buy lithium or rechargeable and it's GREAT); storage capacity (upgradeable) ,-1
        does not have zoom ,-1
        Battery Life ,-1
        Serial cable only (No USB capabilities). Slow Uploading time. ,-1
        An absolute battery hog ,-1
        cam broke/wont upload battery drainer NOT MAC/usb supported ,-1
        Eats batteries like crazy; frustrating problems. no USB ,-1
        uses a lot of batteries. and doesn't take good close ups ,-1
        ITS YOUR FIRST DIGITAL CAMERA TO PLAY WITH!!!! :) ,-1
        Camera is slow. batteries rattle and delete settings. uses batteries up VERY fast. ,-1
        8 months later I still have not received the $40. rebate that I was promised ,-1
        almost non-existent tech support ,-1
        It's easy to use even for children. ,-1
        The camera kept breaking. ,-1
        Holding the camera steady for 5 seconds after taking picture. Not XP compatible ,-1
        Too little space to answer ,-1
        quality and customer service ,-1
        It ain't a $1600 Olympus! ,-1
        Tech support virtually non-existent;  ,-1
        Pictures only good for email. ,-1
        You only get what you pay for. ,-1
        VERY low resolution.  Will not take good enough pics for eBay or email ,-1
        Weak flash. no memory expansion slot. customer service ,-1
        none. just be aware of what it was made for ,-1
        No LCD.  Menus are less than clear. ,-1
        flash not great ,-1
        No expandable memory.  ,-1
        No memory upgrade or color LCD display. ,-1
        If you want to spend more. you can get more resolution and memory. ,-1
        Flaky hardware. *extremely* sensitive to motion during picture taking. mediocre picture quality. ,-1
        Photos are mediocre.  Lighting can effect web camera adversely ,-1
        7-second wait time in between pictures. ,-1
        Flash-Range ,-1
        No-LCD. so-so image quality. batteries ,-1
        Flash kills batteries. bad with low light. no macro mode. ,-1
        no zoom ,-1
        Picture quality ,-1
        No LCD. No Video Out. Batteries ,-1
        Flash distance. poor results in room light ,-1
        Battery life. flimsy USB cover ,-1
        Short battery life. so-so indoor pic quality ,-1
        turns off after about 15-30 seconds w/o use ,-1
        battery life. flash too strong with artificial lights. long time between shots. ,-1
        weak flash. video-conferencing feature is kinda crummy too ,-1
